Frame,Sub Frame,EMG_A01,EMG_A02,EMG_A03,EMG_A04,EMG_A05,EMG_A06,EMG_A07,EMG_A08,EMG_A01_Accz,EMG_A02_Accz,EMG_A03_Accz,EMG_A04_Accz,EMG_A05_Accz,EMG_A06_Accz,EMG_A07_Accz,EMG_A08_Accz,FswA,FswB,EMG_B01,EMG_B02,EMG_B03,EMG_B04,EMG_B05,EMG_B06,EMG_B07,EMG_B08,EMG_B09,EMG_B10,EMG_B11,EMG_B12,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1
719,4,0.0276184,0.0143433,0.00305176,-0.0479126,0.11322,0.010376,0.00213623,0.0300598,-0.0146484,0.0456238,-0.0216675,-0.11322,0.106812,-0.182495,0.0297546,0.179749,2.66373,2.64343,0.00823975,0.0175476,0.0267029,0.0227356,0.000457764,0.00335693,0.0198364,0.010376,0.0221252,0.00518799,3.15048,3.20267,0.128907,0.293134,-0.0650255,165.647,-195.516,183.413,207.643,-1058.39,0.0770316,-0.0644302,-0.136909,-0.275536,0.0304031,0.0429153,-0.42305,-0.172081,0.469894,0.420151,0.328636,0.307884,0.266609,-0.142136,0.122452,-0.326309,0.415306,-0.0306702,0.14679,0.0742722,-0.00591278,-0.235367,-0.206642,0.198517,0.0937271,0.268631,-0.228157,-0.279732,-0.220985,-0.22274,-0.116844,0.297966,-0.179062,0.00427246
719,5,0.0286865,0.0117493,-0.0387573,-0.0306702,0.167847,0.0187683,0.00762939,0.0172424,-0.0144958,0.045166,-0.0393677,-0.118713,0.118713,-0.146942,0.0260925,0.174561,2.66632,2.66586,0.0172424,0.0210571,0.0282288,-0.00488281,0.000762939,0.0202942,0.0204468,0.0408936,0.00991821,0.0134277,3.07175,3.10333,-0.137791,0.0296627,1.72352,-150.812,124.839,126.655,207.643,-1058.39,0.0770316,-0.0766373,-0.152702,-0.26474,0.0371933,0.0479889,-0.420151,-0.191727,0.49305,0.408974,0.337257,0.314293,0.270004,-0.127983,0.0967407,-0.313225,0.405235,-0.0413132,0.130157,0.0391006,-0.0379944,-0.199738,-0.235252,0.173492,0.0748444,0.263939,-0.210533,-0.25238,-0.206299,-0.197792,-0.0998688,0.302277,-0.179939,-0.0177002
719,6,0.0233459,0.0202942,-0.00427246,-0.0163269,0.101471,0.00961304,0.0132751,0.0038147,-0.0134277,0.0363159,-0.101166,-0.101624,0.0460815,-0.032196,0.0195312,0.394745,2.64679,2.63138,-0.0117493,-0.00411987,0.0196838,0.0202942,0.0228882,0.00579834,-0.0154114,0.0154114,0.0119019,-0.00747681,2.95929,2.97989,-0.138656,0.206115,1.0081,-105.63,53.5888,107.874,207.643,-1058.39,0.0770316,-0.0885391,-0.142288,-0.131187,0.0212479,0.0963974,-0.00934601,-0.184517,0.186768,0.347557,0.3685,0.155983,0.177689,0.177803,0.192337,-0.312996,0.17952,-0.0274277,0.113716,0.0590515,-0.0493622,-0.226746,-0.244942,0.181007,0.0811768,0.28286,-0.260925,-0.24231,-0.206146,-0.226974,-0.120964,0.292168,-0.177917,0.0256348
719,7,0.01297,0.0172424,-0.038147,-0.0363159,-0.0535583,0.0212097,-0.00213623,0.0337219,0.0114441,0.0326538,-0.0880432,-0.117035,0.0796509,-0.0367737,0.0253296,0.400543,2.66113,2.64603,-0.0012207,0.00198364,0.0138855,0.0285339,0.0350952,0.012207,-0.00396729,0.0398254,0.0183105,0.0146484,2.8717,2.88437,-0.049081,0.383843,1.00769,-60.4381,160.469,126.487,207.643,-1058.39,0.0770316,-0.0853729,-0.140686,-0.144043,0.0133133,0.0891495,-0.0186157,-0.163956,0.20546,0.334511,0.373077,0.158348,0.180092,0.179672,0.196571,-0.317688,0.157318,-0.0214386,0.129662,0.0644684,-0.00930786,-0.257645,-0.24498,0.216064,0.092926,0.267792,-0.243683,-0.254707,-0.202827,-0.249252,-0.111809,0.298119,-0.193062,-0.000915527
719,8,0.0343323,-0.0117493,-0.108795,-0.0411987,-0.187378,0.0126648,0.0189209,0.0115967,-0.0144958,0.0285339,-0.129089,-0.122986,0.0396729,-0.0315857,0.00137329,0.403442,2.65976,2.66693,0.0343323,0.0117493,0.0389099,0.0299072,-0.0498962,0.000305176,-0.0108337,0.0196838,-0.0115967,0.0149536,2.78046,2.77908,-0.230744,0.113468,-1.13696,-60.4549,17.9515,89.0299,223.294,-1005.13,-0.0348878,-0.120087,-0.121765,-0.124168,0.0146484,0.101242,-0.0148773,-0.18074,0.196915,0.338745,0.358238,0.158463,0.150681,0.163765,0.195999,-0.303764,0.186081,-0.0279236,0.117264,0.0564194,-0.0301361,-0.221176,-0.233688,0.192909,0.0806808,0.28511,-0.237083,-0.26535,-0.210266,-0.250397,-0.108948,0.337029,-0.177727,0.0140381
719,9,0.0450134,0.0370789,-0.138702,-0.0299072,-0.200348,0.0410461,0.0242615,0.0175476,-0.0050354,0.0198364,-0.138702,-0.111084,0.0518799,-0.0294495,0.0588989,0.389709,2.65167,2.65869,0.0276184,0.0120544,0.00305176,0.00976562,-0.00778198,0.0325012,0.0260925,0.0137329,-0.00152588,0.010376,1.33835,2.45056,-0.319173,0.47076,-0.0648168,75.165,-124.44,107.977,207.643,-1058.39,0.0770316,-0.0799942,-0.164146,-0.0984955,0.0323486,0.118408,-0.0125122,-0.19165,0.198822,0.313721,0.354881,0.152588,0.164642,0.198021,0.195351,-0.314445,0.178146,-0.0369263,0.150604,0.0764084,-0.0117493,-0.201607,-0.196991,0.207443,0.0588989,0.274239,-0.223274,-0.257492,-0.21965,-0.241928,-0.0898361,0.318069,-0.164146,-0.0115967
720,0,0.0535583,0.0358582,-0.144653,-0.032959,-0.172882,0.0102234,0.0238037,0.0178528,-0.014801,0.0559998,-0.135498,-0.115204,0.0379944,-0.0596619,0.0273132,0.396729,2.66144,2.6416,-0.0105286,0.000610352,-0.0140381,-0.032196,-0.000457764,0.00411987,-0.00320435,-0.00869751,-0.0144958,0.0163269,-3.19351,-3.17078,-0.139454,0.0271462,0.293309,165.453,17.9276,51.059,207.643,-1058.39,0.0770316,-0.0921249,-0.155869,-0.112801,0.0244522,0.114937,-0.00957489,-0.177841,0.211258,0.349159,0.35408,0.171547,0.149574,0.161438,0.21019,-0.316391,0.183334,-0.0703049,0.167999,0.0554276,-0.0223541,-0.221634,-0.218887,0.184097,0.0618744,0.267334,-0.234528,-0.251923,-0.183372,-0.234375,-0.149384,0.29377,-0.185089,-0.00213623
720,1,0.0195312,0.0740051,-0.105438,-0.0109863,-0.075531,0.0228882,0.00411987,0.0274658,-0.0205994,0.0419617,-0.122528,-0.0978088,0.0611877,-0.0202942,0.0115967,0.419159,2.66708,2.66083,0.00152588,0.00579834,0.0297546,-0.0189209,-0.00930786,0.022583,0.0216675,0.0390625,0.00167847,0.00198364,-3.18115,-3.18802,-0.229963,0.381293,-0.422318,210.577,17.8366,-5.55549,207.643,-1058.39,0.0770316,-0.09655,-0.152931,-0.120277,0.0401688,0.0860977,-0.0101852,-0.185242,0.168266,0.3545,0.357132,0.170174,0.169449,0.168839,0.171242,-0.303841,0.168953,-0.0339127,0.155678,0.0728607,-0.0104904,-0.198364,-0.225983,0.199203,0.0668716,0.258904,-0.235405,-0.261612,-0.20237,-0.235481,-0.102425,0.298767,-0.163994,-0.020752
720,2,0.0106812,0.0767517,-0.101471,-0.00427246,0.0878906,-0.012207,0.0126648,0.0143433,-0.0340271,0.0274658,-0.142517,-0.118256,0.0622559,-0.038147,0.00732422,0.404053,2.64343,2.63779,0.0117493,-0.000152588,-0.00152588,-0.0428772,0.0102234,-0.0205994,0.00152588,0.0204468,-0.00656128,0.0238037,-3.16177,-3.16956,-0.0502782,0.115389,-0.0645043,74.9641,124.616,-24.4397,207.643,-1058.39,0.0770316,-0.0884628,-0.160484,-0.104485,0.0395584,0.107155,-0.0044632,-0.171318,0.191994,0.317955,0.368233,0.178146,0.175133,0.156097,0.183296,-0.304565,0.156746,-0.0147247,0.162086,0.0469971,-0.0178528,-0.22213,-0.229988,0.20237,0.0790405,0.308647,-0.213547,-0.253296,-0.207443,-0.229645,-0.100708,0.280151,-0.1548,0.0115967
720,3,0.0215149,0.043335,-0.0730896,0.0408936,0.0666809,0.0454712,0.000457764,-0.0196838,-0.00411987,0.032196,-0.0860596,-0.13443,0.0302124,-0.0308228,-0.00152588,0.272827,2.6358,2.63702,0.00213623,-0.00167847,0.0338745,-0.0419617,0.0350952,0.00289917,0.00305176,-0.00915527,0.00167847,-0.0134277,-3.16544,-3.17581,-0.139438,-0.0617089,0.293465,75.1447,-17.6025,107.789,207.643,-1058.39,0.0770316,-0.102654,-0.152817,0.0311279,0.0278854,0.149994,0.0683975,-0.184746,-0.109596,0.272522,0.344696,0.161133,0.158577,0.0800705,0.0492096,-0.320244,0.0798416,-0.0418854,0.154533,0.0629425,0.0247955,-0.2108,-0.238113,0.198326,0.0519943,0.314407,-0.225677,-0.282326,-0.229187,-0.237045,-0.126266,0.307159,-0.164223,-0.000610352
720,4,-0.0175476,0.0442505,-0.0190735,0.068512,0.0901794,-0.0196838,0.0117493,-0.000305176,-0.0157166,0.0416565,-0.0950623,-0.137177,0.0224304,-0.0253296,0.0253296,0.266418,2.63794,2.6535,-0.000152588,-0.0175476,0.0413513,-0.0280762,0.0343323,0.00442505,-0.0238037,0.0115967,-0.0180054,-0.00274658,-3.18008,-3.1781,0.219314,0.47212,0.649664,300.98,17.8867,13.1933,207.643,-1058.39,0.0770316,-0.0921249,-0.141678,0.0272751,-0.00999451,0.137291,0.0751495,-0.18364,-0.0782394,0.270081,0.345573,0.16674,0.15892,0.100365,0.0375366,-0.305214,0.0934982,-0.0481415,0.170135,0.0350189,0.0237656,-0.209045,-0.223236,0.192261,0.0460052,0.274391,-0.239182,-0.269966,-0.176201,-0.236855,-0.139923,0.309143,-0.164528,0.00671387
720,5,-0.00442505,-0.00732422,0.0332642,0.0917053,0.00213623,-0.00564575,0.032196,0.0238037,-0.0151062,0.0392151,-0.0827026,-0.113068,0.0280762,-0.0382996,0.0210571,0.264435,2.668,2.65686,0.0219727,0.00747681,0.0283813,-0.0367737,0.0131226,0.00305176,0.0108337,0.0062561,-0.00579834,-0.00320435,-3.11859,-3.11813,-0.49711,0.294903,1.00836,-60.4398,53.5973,107.821,207.643,-1058.39,0.0770316,-0.0921249,-0.153923,-0.000114441,0.000343323,0.130844,0.0980759,-0.174294,-0.0785065,0.279007,0.352364,0.170975,0.180016,0.0757599,0.0553131,-0.315247,0.0550842,-0.027771,0.169678,0.0553894,0.00331879,-0.209694,-0.212173,0.173988,0.0805283,0.27523,-0.232849,-0.241966,-0.195427,-0.194016,-0.112419,0.317078,-0.164604,0.0216675
720,6,-0.0450134,-0.0241089,-0.00732422,0.108337,-0.0750732,0.0212097,0.00366211,0.0151062,-0.00701904,0.0508118,-0.101624,-0.139465,0.0346375,-0.0332642,0.0427246,0.2771,2.63977,2.65472,0.0296021,0.00595093,0.0444031,0.0132751,-0.00976562,0.00442505,0.0112915,-0.00305176,-0.00244141,0.0239563,-3.04733,-3.05893,0.220163,0.384522,1.36493,75.1228,-17.6357,88.9348,207.643,-1058.39,0.0770316,-0.105095,-0.152893,0.00507355,0.0180817,0.131607,0.0765228,-0.183449,-0.0757599,0.270615,0.351143,0.159454,0.161514,0.100784,0.0620651,-0.298767,0.0772476,-0.0182343,0.161362,0.0584793,0.0316238,-0.184822,-0.219116,0.199318,0.0566101,0.309296,-0.2211,-0.23819,-0.195732,-0.190964,-0.0754166,0.281754,-0.166473,0.00183105
720,7,0.0144958,-0.00930786,-0.0204468,0.0971985,0.119629,-0.00457764,0.0164795,0.0247192,-0.0234985,0.0222778,-0.0747681,-0.137482,0.0332642,-0.0343323,0.0102234,0.263977,2.65366,2.64908,-0.017395,0.0111389,0.0163269,0.0169373,0.00915527,0.0291443,0.0256348,-0.015564,-0.0038147,0.00473022,-2.98401,-2.99973,-0.140736,0.20297,-0.779663,-15.1753,124.964,183.059,207.643,-1058.39,0.0770316,-0.110512,-0.164032,0.0129318,0.0200653,0.131302,0.0877762,-0.174789,-0.104294,0.276489,0.342941,0.158958,0.176315,0.0818253,0.0460052,-0.315475,0.0754929,-0.021553,0.129204,0.0574493,0.0422668,-0.199432,-0.184135,0.192833,0.0740051,0.321541,-0.233231,-0.209198,-0.222549,-0.214539,-0.0941086,0.271149,-0.16243,0.0177002
720,8,0.0253296,-0.00289917,0.0126648,0.0778198,0.237579,-0.059967,0.0193787,0.0111389,-0.00946045,0.0410461,-0.090332,-0.122375,0.0474548,-0.0230408,0.00900269,0.261993,2.66357,2.64908,0.00839233,-0.00289917,0.0152588,0.00823975,0.0288391,0.0254822,0.00717163,0.00579834,0.0166321,0.00366211,-2.89474,-2.91626,0.218533,0.204295,-0.0649735,-15.2056,53.6721,145.477,207.643,-1058.39,0.0770316,-0.0637054,-0.138512,0.0113678,-0.00839233,0.126915,0.0883102,-0.18074,-0.0759125,0.268135,0.355835,0.160408,0.163536,0.0894165,0.0603485,-0.316391,0.0804901,-0.00331879,0.160599,0.0784683,0.0224304,-0.172958,-0.189018,0.188446,0.0788116,0.320663,-0.251579,-0.207748,-0.207939,-0.221939,-0.0979233,0.265656,-0.166702,-0.00305176
720,9,0.0221252,-0.00442505,-0.0160217,0.0164795,0.218811,-0.0190735,-0.0177002,0.00854492,-0.00564575,0.0367737,-0.0802612,-0.13382,0.0413513,-0.0643921,0.00991821,0.26001,2.63718,2.66312,0.0131226,0.00900269,-0.00244141,-0.00778198,-0.0283813,-0.00747681,-0.0158691,0.00213623,-0.0128174,0.00793457,-0.866852,-1.95679,-0.0503457,0.470811,-0.0651296,-105.574,-124.441,127.041,207.643,-1058.39,0.0770316,-0.0837326,-0.147552,0.0295639,0.0304794,0.116882,0.067749,-0.17437,-0.103111,0.28141,0.355949,0.172005,0.171089,0.0588226,0.0511169,-0.31765,0.0897217,-0.0331879,0.141335,0.0437927,0.0189209,-0.183449,-0.175018,0.190086,0.0704575,0.314407,-0.231285,-0.221138,-0.200539,-0.203362,-0.0858688,0.290222,-0.163994,0.00183105
721,0,0.0511169,-0.012207,-0.00152588,-0.0131226,0.126953,-0.0111389,0.00457764,0.000915527,-0.000915527,0.0474548,-0.0569153,-0.0837708,0.107727,-0.0387573,0.0245667,0.0332642,2.61856,2.6326,0.0509644,0.0239563,0.0222778,0.0245667,-0.00152588,0.0257874,0.0158691,0.0230408,0.0219727,-0.0158691,3.27728,3.31207,-0.409164,0.292404,-0.421954,29.816,17.8026,-5.34515,207.643,-1058.39,0.0770316,-0.0875854,-0.0961685,0.143166,0.0350189,0.143929,0.170975,-0.174828,-0.242119,0.236969,0.222168,0.201187,0.168457,-0.0510406,0.016861,-0.341606,0.18055,-0.0294113,0.172195,0.0527191,0.0275421,-0.190887,-0.211334,0.206451,0.0640106,0.30468,-0.241318,-0.236511,-0.217781,-0.182457,-0.100899,0.280457,-0.157204,0.0161743
721,1,0.0431824,0.00823975,0.00427246,-0.0260925,0.0730896,0.00610352,0.0157166,-0.0224304,0.00274658,0.0219727,-0.067749,-0.0950623,0.0930786,-0.022583,0.000915527,0.0250244,2.67776,2.63474,0.0233459,0.00946045,0.0241089,0.0149536,-0.0163269,0.0138855,-0.00900269,-0.00442505,0.0163269,0.0413513,3.28186,3.28308,-0.408035,0.916278,0.649612,30.0169,-231.254,127.071,207.643,-1058.39,0.0770316,-0.0772095,-0.103531,0.148354,0.0378799,0.153847,0.184059,-0.175705,-0.232849,0.217476,0.223045,0.181541,0.187378,-0.0495911,0.0143051,-0.312386,0.173721,-0.0379944,0.139046,0.0811005,0.0394821,-0.191078,-0.177765,0.209007,0.0811005,0.310097,-0.23838,-0.235481,-0.201073,-0.205841,-0.0839615,0.283356,-0.148888,0.00549316
721,2,0.0299072,0.0100708,0.0131226,-0.0550842,-0.0912476,0.012207,0.0114441,-0.00701904,-0.0183105,0.0682068,-0.0395203,-0.0965881,0.115509,-0.0363159,0.0378418,0.0346375,2.67334,2.65564,0.0193787,0.0161743,0.0260925,-0.00534058,0.00717163,0.0112915,0.0270081,0.0038147,0.0283813,0.0183105,3.27621,3.27957,0.0389154,0.114777,-0.422162,-60.4904,89.1436,70.0506,207.643,-1058.39,0.0770316,-0.0871277,-0.100746,0.160332,0.0495529,0.136871,0.177116,-0.177536,-0.24147,0.253563,0.229454,0.200691,0.186729,-0.0504684,0.0159836,-0.300751,0.189552,-0.032959,0.163536,0.0587082,0.0133896,-0.206985,-0.195351,0.17086,0.0861359,0.320625,-0.235062,-0.224228,-0.223808,-0.191689,-0.0765228,0.30365,-0.14904,0.00152588
721,3,0.0238037,0.00991821,-0.0109863,-0.0683594,-0.215607,0.00534058,0.00839233,0.0193787,-0.0195312,0.0706482,-0.0698853,-0.107727,0.0930786,-0.0631714,0.0325012,0.0491333,2.63428,2.63168,0.0184631,0.0210571,0.0405884,0.0115967,-0.0260925,0.0189209,0.0337219,-0.0154114,0.0271606,0.0175476,3.28918,3.27209,-0.0506941,0.11476,-0.422058,-105.704,-17.7692,32.5832,207.643,-1058.39,0.0770316,-0.0892258,-0.124893,0.160675,0.0474167,0.149193,0.201607,-0.184479,-0.230598,0.210991,0.217247,0.181313,0.193024,-0.0374985,0.0437927,-0.30777,0.175362,-0.0318527,0.15213,0.0187683,0.0496674,-0.170174,-0.180168,0.148468,0.0594711,0.308189,-0.177803,-0.202026,-0.214767,-0.218468,-0.0915527,0.239754,-0.176392,-0.00335693
721,4,0.0437927,0.0131226,-0.0117493,-0.0790405,-0.119019,0.0450134,-0.0196838,0.0012207,-0.0108337,0.0526428,-0.0434875,-0.101624,0.118103,-0.0346375,-0.00946045,0.0299072,2.63336,2.65793,0.00671387,0.00152588,0.0509644,0.0119019,0.00762939,0.00854492,-0.0289917,0.00930786,0.058136,0.00259399,3.17841,3.20908,0.129323,0.293763,0.292527,29.9173,-53.29,70.1961,207.643,-1058.39,0.0770316,-0.0881958,-0.110397,0.153809,0.0421906,0.143661,0.154419,-0.190125,-0.244637,0.21843,0.225487,0.189018,0.185699,-0.0468445,0.0063324,-0.32299,0.178185,-0.0146866,0.125313,0.0600052,0.0209427,-0.18158,-0.18322,0.151138,0.0795364,0.295448,-0.196342,-0.205994,-0.196877,-0.212746,-0.0789261,0.236206,-0.195656,0.00823975
721,5,0.0224304,0.0119019,0.0144958,-0.0531006,-0.15564,0.0291443,0.00152588,0.0140381,-0.0100708,0.0585938,-0.0605774,-0.115967,0.0920105,-0.04776,0.0114441,0.0498962,2.66785,2.64343,-0.00823975,0.0349426,0.0549316,0.0364685,-0.00350952,0.0230408,-0.01297,-0.00549316,0.000915527,-0.00915527,3.07404,3.09738,0.128491,0.292505,-0.422579,120.414,-88.7198,164.423,207.643,-1058.39,0.0770316,-0.0842285,-0.110817,0.153885,0.0236511,0.14061,0.177536,-0.187912,-0.239487,0.234947,0.215721,0.193863,0.173035,-0.0674438,0.0151062,-0.302162,0.217705,-0.0104904,0.170441,0.0323486,-0.0043869,-0.16571,-0.145493,0.195847,0.0672913,0.294456,-0.207367,-0.237198,-0.222244,-0.220528,-0.0855637,0.256996,-0.162544,0.00457764
721,6,0.0270081,0.0279236,-0.000305176,-0.00991821,-0.063324,0.00976562,0.0259399,-0.00579834,0.00701904,0.0613403,-0.0595093,-0.0912476,0.09552,-0.0430298,0.0175476,0.0325012,2.64557,2.66342,0.0259399,-0.00778198,0.014801,0.0117493,0.00610352,0.0131226,-0.00228882,-0.0398254,0.00305176,0.012207,2.97455,3.00293,0.399032,0.0285055,1.00779,75.0754,231.653,88.4963,207.643,-1058.39,0.0770316,-0.0790787,-0.113983,0.160484,0.0397491,0.147095,0.174866,-0.193253,-0.236549,0.227814,0.20401,0.206795,0.182419,-0.0440598,0.00637054,-0.319023,0.189247,-0.0672531,0.165062,0.0246429,-0.00347137,-0.184479,-0.176735,0.155106,0.0705719,0.317993,-0.197792,-0.199165,-0.200005,-0.183678,-0.0905228,0.236549,-0.151405,0.0115967
721,7,0.00411987,0.0296021,-0.0488281,0.00320435,0.0186157,0.0245667,0.0167847,0.0114441,-0.0163269,0.000915527,-0.0254822,-0.0979614,0.0662231,-0.0692749,0.0308228,-0.0541687,2.65106,2.63733,0.0338745,0.0297546,0.0178528,0.03479,0.0109863,0.0364685,0.00289917,0.000915527,0.0257874,0.0137329,2.87277,2.89444,0.038016,0.46894,-1.13789,120.298,-53.273,70.0909,160.682,-1164.12,0.317695,-0.082016,-0.100937,0.173645,0.0530243,0.258446,0.240326,-0.163612,-0.326653,0.215034,0.189285,0.246887,0.22049,-0.144272,0.167236,-0.321541,0.249977,-0.0319672,0.15564,0.0325012,0.0170517,-0.174026,-0.167656,0.170097,0.0684357,0.296326,-0.209923,-0.198441,-0.215645,-0.198288,-0.0537872,0.237694,-0.139427,-0.00274658
721,8,-0.0302124,0.0169373,-0.0454712,0.018158,0.210571,-0.0114441,0.00701904,-0.0187683,-0.0115967,-0.0109863,-0.0192261,-0.100708,0.043335,-0.0473022,0.0221252,-0.0552368,2.66083,2.65762,0.0135803,0.0117493,0.0294495,0.0474548,0.0100708,0.00320435,-0.00457764,0.00640869,0.0149536,0.0120544,2.76947,2.77725,-0.407916,0.294291,0.650706,120.37,-88.7861,126.715,207.643,-1058.39,0.0770316,-0.103378,-0.0822067,0.176811,0.0424576,0.263443,0.216446,-0.172386,-0.332222,0.205612,0.189362,0.248909,0.214882,-0.128326,0.153046,-0.301094,0.222321,-0.0354004,0.168839,0.0628281,0.0442886,-0.202103,-0.17025,0.149384,0.0798416,0.295372,-0.212631,-0.199585,-0.198059,-0.2174,-0.0758743,0.21431,-0.156517,0.0177002
721,9,-0.0285339,0.00793457,-0.0479126,-0.00610352,0.335693,0.0134277,0.0205994,0.0157166,-0.0291443,-0.00289917,-0.0187683,-0.0898743,0.0468445,-0.0621033,0.00183105,-0.042572,2.67532,2.65869,0.0186157,0.0143433,0.0318909,0.045929,0.0132751,0.00244141,0.00305176,0.000610352,-0.0270081,0.00793457,1.29135,2.41119,-0.0478669,0.563441,2.08003,75.1312,53.6228,107.664,207.643,-1058.39,0.0770316,-0.0717163,-0.0964355,0.171967,0.0629425,0.264664,0.245895,-0.177383,-0.333099,0.196266,0.196915,0.258522,0.234528,-0.144272,0.175476,-0.320969,0.249405,-0.0214386,0.161324,0.0357056,0.0432968,-0.165253,-0.163803,0.140266,0.0706482,0.297203,-0.200157,-0.192299,-0.205231,-0.228653,-0.067749,0.223923,-0.16346,0
722,0,-0.0227356,-0.00930786,-0.0204468,0.0283813,0.279388,0.00961304,0.0268555,0.00305176,-0.0132751,0.00198364,-0.040741,-0.0881958,0.0579834,-0.0515747,0.0440979,-0.0436401,2.6564,2.66342,0.010376,-0.015564,0.0167847,0.0202942,0.0123596,0.0236511,-0.0109863,-0.0100708,0.00549316,0.0154114,-3.15384,-3.18359,0.311436,0.387056,2.79503,29.8683,89.1274,51.0915,207.643,-1058.39,0.0770316,-0.105743,-0.0960922,0.179329,0.0309372,0.278015,0.215302,-0.187378,-0.311127,0.203171,0.182343,0.264473,0.221214,-0.126076,0.175972,-0.31189,0.227776,-0.0379562,0.116348,0.0250626,0.0101089,-0.161362,-0.18219,0.114212,0.0455475,0.314217,-0.185394,-0.217934,-0.176468,-0.194511,-0.0742722,0.237503,-0.158958,0
722,1,-0.00808716,-0.0344849,-0.00396729,-0.0318909,0.16922,-0.00305176,-0.0088501,0.00823975,-0.0471497,-0.00991821,-0.0247192,-0.108337,0.0352478,-0.0387573,0.0163269,-0.0526428,2.65366,2.67014,0.00244141,0.0012207,0.0216675,0.025177,0.00732422,0.00198364,0.00762939,0.0384521,0.032196,0.0167847,-3.19,-3.18192,0.217735,0.0253262,-0.779767,-241.231,-17.7283,70.4489,207.643,-1058.39,0.0770316,-0.0880051,-0.104637,0.163956,0.0447464,0.226212,0.221405,-0.181465,-0.329056,0.203972,0.164299,0.225372,0.22438,-0.126152,0.168571,-0.314026,0.218925,-0.0450516,0.120659,0.0337982,0.0104523,-0.126076,-0.169716,0.124931,0.0463867,0.301056,-0.187912,-0.211792,-0.184021,-0.1791,-0.0838089,0.247116,-0.158501,0.0112915
722,2,0.0161743,-0.0392151,-0.00274658,-0.027771,-0.0775146,-0.00961304,0.0268555,0.00442505,-0.0402832,-0.000610352,-0.0512695,-0.0985718,0.0370789,-0.0531006,0.0125122,-0.0569153,2.62512,2.64389,-0.012207,0.0143433,0.0311279,0.00762939,0.0100708,0.00579834,-0.0123596,0.00686646,0.00839233,0.00793457,-3.17627,-3.16757,0.485662,0.37954,-1.49581,-195.968,-53.233,127.021,171.876,-927.172,-0.112242,-0.0690842,-0.0905991,0.183487,0.0120163,0.26619,0.229149,-0.182571,-0.313416,0.19207,0.174484,0.238037,0.216942,-0.112839,0.176849,-0.319595,0.238686,-0.0619125,0.0953293,0.0296021,0.0603104,-0.15274,-0.177727,0.124321,0.0363922,0.289917,-0.165558,-0.212364,-0.177231,-0.193901,-0.0824738,0.228691,-0.162506,0.00427246
722,3,-0.0241089,-0.0137329,-0.0123596,-0.0390625,-0.075531,-0.00534058,0.0294495,0.00335693,-0.0247192,-0.00366211,-0.0378418,-0.0883484,0.0422668,-0.0718689,0.040741,-0.0318909,2.6622,2.65503,0.00869751,0.0132751,0.0231934,0.0338745,0.0352478,0.0100708,0.00366211,0.0189209,0.0163269,0.027771,-3.17673,-3.16772,0.127608,0.557812,-1.13815,120.264,124.79,69.7776,317.287,-1164.09,0.135462,-0.0836945,-0.0881577,0.163651,0.0373459,0.244255,0.229263,-0.181465,-0.335579,0.20546,0.181465,0.245056,0.196686,-0.13073,0.173683,-0.308037,0.227509,-0.0465012,0.0897598,0.0343323,0.0223541,-0.165367,-0.180016,0.105553,0.0318146,0.334015,-0.176697,-0.19558,-0.163765,-0.209732,-0.0899506,0.229263,-0.185966,-0.012207
722,4,0.00442505,0.00640869,-0.0354004,-0.0205994,-0.0715637,-0.014801,0.0038147,-0.0192261,-0.0505066,-0.0556946,-0.0297546,-0.0642395,-0.0514221,-0.14328,0.0189209,-0.0932312,2.63367,2.63092,0.00442505,0.00488281,-0.0154114,0.0260925,-0.00671387,-0.00671387,-0.00946045,0.0100708,-0.0256348,-0.0228882,-3.19565,-3.17245,0.12844,0.559071,-0.423048,-15.2072,-53.199,126.811,207.643,-1058.39,0.0770316,-0.0893402,-0.0854492,0.268021,0.0126266,0.234718,0.278587,-0.183525,-0.258293,0.201149,0.236206,0.343285,0.248985,-0.160637,0.224953,-0.325813,0.304947,-0.0413895,0.0978851,0.0628662,0.0289917,-0.165253,-0.157661,0.139389,0.0194168,0.307732,-0.163116,-0.19207,-0.176544,-0.196991,-0.0852203,0.224533,-0.15789,0.0112915
722,5,-0.00915527,0.0193787,-0.0352478,-0.0535583,-0.293732,0.0523376,-0.0231934,0.0227356,-0.0408936,-0.0683594,-0.020752,-0.0717163,-0.0657654,-0.137177,-0.000152588,-0.0891113,2.66205,2.66846,0.0120544,0.0270081,0.00595093,0.0166321,0.0187683,0.0267029,0.0436401,0.0410461,0.0143433,0.00595093,-3.10654,-3.12714,0.486095,0.291314,-1.1381,120.382,-266.883,108.175,-27.2444,-1164.15,0.536375,-0.0908661,-0.0934982,0.247765,0.0204468,0.238342,0.270615,-0.169487,-0.262184,0.198212,0.221024,0.327606,0.224838,-0.182877,0.21431,-0.322571,0.299759,-0.0237274,0.10273,0.0304794,0.045433,-0.167427,-0.15873,0.125389,0.0451279,0.341682,-0.162544,-0.19104,-0.166817,-0.21843,-0.080719,0.236816,-0.151558,0.000305176
